titulo_ponencia
Imaginarios planetarios en la cultura latinoamericana/latino-estadounidense 1
Mujeres y racialización: aproximaciones histórico-literarias
Políticas y poéticas de la traducción
Tránsitos y fronteras
Culture and Crisis in Brazil: Historical Lessons and Contemporary Responses
Imaginarios planetarios en la cultura latinoamericana/latino-estadounidense 2
Masculinidades / Feminidades: Género en la literatura peruana del siglo XX
Reapropiaciones y reinvenciones del paisaje: hacia una perspectiva biocéntrica de la naturaleza latinoamericana
Writing the Agency of the Sex Worker in Latin America
"Materias rebeldes: economía, trabajo y naturaleza en el siglo XIX latinoamericano"
"El modernismo hoy: la salud pública, el medio ambiente y la autonomía sexual"
Literatura contemporánea y migraciones centroamericanas: desarticulando el canon (Parte 1)
Revisiones de la crítica literaria I
"The Body Politic, the Politics of Bodies and Biopolitics in Latin American Science Fiction"
The South American Literary Diaspora in the 21st Century
"Borders/Fronteras: Literature, Art, and the Threat of Social and Ecological Devastation"
Del desencanto del Estado al reencantamiento de la realidad: un itinerario literario con las brujas del siglo XXI en la literatura latinoamericana
Literatura contemporánea y migraciones centroamericanas: desarticulando el canon (Parte 2)
Revisiones de la crítica literaria II
"The Press and the Public Sphere: Power, Form, and Networks in the Nineteenth Century"
"Cuerpos, violencias, transmigraciones en la literatura mexicana"
Literatura cubana en el entramado global de hoy
Literaturas del Caribe
"Narrativas de la violencia: biopolítica, frontera y ficción detectivesca"
Revisiones de la crítica literaria III
Ciencia ficción latinoamericana ¿un género literario ‘menor’? I: crisis social
Cuerpo y subjetividad: escrituras encarnadas
Escrituras de la disidencia sexual
Literatura e interseccionalidad
"Postutopian Form: Literature, Aesthetics, and Politics in Posthegemonic Times / Forma Pós-Utópica: Literatura, Estética e Política nos Tempos Pós-hegemônicos (Part 1)"
"Review: Literature and Arts of the Americas, no. 99: “Arab Latin America”"
Ciencia ficción latinoamericana ¿un género literario ‘menor’? II: parcialidad de géneros
"Enfrentando apagamentos: produções culturais, feminismos e violência"
Is There No Alternative?: Confronting Capitalism at the End of the World
"Postutopian Form: Literature, Aesthetics, and Politics in Posthegemonic Times / Forma Pós-Utópica: Literatura, Estética e Política nos Tempos Pós-hegemônicos (Part 2)"
La locura femenina en la literatura de las Antillas Hispanas: tres contextos socioculturales bajo un prisma interdisciplinario
"Lo que sigue no es retórica: archivos, cuerpos y guerras (teatro/ performance en Argentina, Chile y México)"
"Racismo, migración y justicia social en las artes contemporáneas"
"Vertigo, Fatigue and Mise en abyme: Non-human Animals, Democracy, and Authoritarianism in 20th Century Latin American Narrative"
"Exilio, destierro y otras formas de extrañamiento en el siglo XIX (1850-1910)"
"Hacia la Revolución mexicana global: perspectivas transnacionales del siglo XX y XXI , Parte 1"
